title,rating,ranking
Re:Zero kara Hajimeru Isekai Seikatsu,8.27,251
Tokyo Revengers,8.27,252
Yuru Camp△,8.27,253
Hunter x Hunter: Greed Island Final,8.27,254
Danshi Koukousei no Nichijou,8.26,255
No Game No Life: Zero,8.26,256
Nodame Cantabile: Finale,8.26,257
Sennen Joyuu,8.26,258
Space☆Dandy 2nd Season,8.26,259
Wu Liuqi Zhi Zui Qiang Fa Xing Shi,8.26,260
Youjo Senki Movie,8.26,261
Non Non Biyori Movie: Vacation,8.25,262
Ookami to Koushinryou,8.25,263
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,264
Detective Conan: Episode One - The Great Detective Turned Small,8.25,265
Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,266
Initial D Final Stage,8.25,267
Kuroko no Basket 2nd Season,8.25,268
Kuroshitsuji Movie: Book of the Atlantic,8.25,269
Magi: The Kingdom of Magic,8.25,270
Major S1,8.25,271
Major S3,8.25,272
Diamond no Ace: Act II,8.24,273
Hachimitsu to Clover II,8.24,274
SKET Dance,8.24,275
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.24,276
Nomad: Megalo Box 2,8.23,277
Trigun,8.23,278
xxxHOLiC Kei,8.23,279
Douluo Dalu: Qian Hua Xi Jin,8.23,280
Hajime no Ippo: Mashiba vs. Kimura,8.23,281
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.23,282
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.23,283
Boku no Hero Academia 2nd Season,8.22,284
Detective Conan Movie 13: The Raven Chaser,8.22,285
Dororo,8.22,286
Banana Fish,8.51,101
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.22,287
Fruits Basket 1st Season,8.22,288
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.22,289
Golden Kamuy 2nd Season,8.22,290
Kono Sekai no Katasumi ni,8.22,291
Majo no Takkyuubin,8.22,292
Major S2,8.22,293
Major S4,8.22,294
Mimi wo Sumaseba,8.22,295
One Piece Movie 14: Stampede,8.22,296
Shokugeki no Souma,8.22,297
xxxHOLiC Rou,8.22,298
Yuukoku no Moriarty 2nd Season,8.22,299
ReLIFE: Kanketsu-hen,8.21,300
Gintama: The Semi-Final,8.51,102
Hotaru no Haka,8.51,103
Kenpuu Denki Berserk,8.51,104
Perfect Blue,8.51,105
Rainbow: Nisha Rokubou no Shichinin,8.51,106
Shingeki no Kyojin,8.51,107
Steins;Gate 0,8.51,108
Uchuu Kyoudai,8.51,109
Vivy: Fluorite Eye's Song,8.51,110
Samurai Champloo,8.50,111
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,112
Chihayafuru 3,8.49,113
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.49,114
Mo Dao Zu Shi,8.49,115
Nana,8.49,116
Shingeki no Kyojin Season 2,8.49,117
Saenai Heroine no Sodatekata Fine,8.48,118
Zoku Owarimonogatari,8.48,119
Holo no Graffiti,8.48,120
Mob Psycho 100,8.48,121
Haikyuu!!,8.47,122
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.47,123
Nichijou,8.46,124
Owarimonogatari,8.46,125
Mushishi Zoku Shou: Odoro no Michi,8.45,126
Saiki Kusuo no Ψ-nan 2,8.45,127
Yuu☆Yuu☆Hakusho,8.45,128
Gintama: Yorinuki Gintama-san on Theater 2D,8.45,129
Golden Kamuy 3rd Season,8.45,130
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.45,131
Mo Dao Zu Shi: Xian Yun Pian,8.45,132
Koukaku Kidoutai: Stand Alone Complex,8.44,133
Mononoke,8.44,134
Neon Genesis Evangelion,8.33,201
K-On!!,8.16,351
Saiki Kusuo no Ψ-nan,8.43,135
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.43,136
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.43,137
Kingdom 3rd Season,8.43,138
Major S5,8.43,139
Grand Blue,8.42,140
Kara no Kyoukai 7: Satsujin Kousatsu (Go),8.42,141
Kaze ga Tsuyoku Fuiteiru,8.42,142
Kobayashi-san Chi no Maid Dragon S,8.42,143
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,144
Non Non Biyori Nonstop,8.41,145
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.41,146
Shingeki no Kyojin: Kuinaki Sentaku,8.41,147
Tensei shitara Slime Datta Ken 2nd Season,8.41,148
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.41,149
3-gatsu no Lion,8.41,150
Boku dake ga Inai Machi,8.33,202
Fate/stay night: Unlimited Blade Works 2nd Season,8.33,203
K-On! Movie,8.33,204
Luo Xiao Hei Zhan Ji (Movie),8.33,205
Major: World Series,8.33,206
Doukyuusei (Movie),8.32,207
Hunter x Hunter: Original Video Animation,8.32,208
Kino no Tabi: The Beautiful World,8.32,209
Natsume Yuujinchou,8.32,210
NHK ni Youkoso!,8.32,211
Shelter,8.32,212
Shinsekai yori,8.32,213
Shirobako,8.32,214
Steins;Gate: Oukoubakko no Poriomania,8.32,215
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.31,216
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31,217
Beck,8.31,218
Diamond no Ace: Second Season,8.31,219
Douluo Dalu: Xingdou Xian Ji Pian,8.31,220
Dr. Stone,8.31,221
Fate/Zero,8.31,222
Kuroko no Basket 3rd Season,8.31,223
Bakemono no Ko,8.30,224
Detective Conan Movie 06: The Phantom of Baker Street,8.30,225
Great Pretender,8.30,226
Kawaki wo Ameku,8.30,227
Nodame Cantabile,8.30,228
Rurouni Kenshin: Meiji Kenkaku Romantan,8.30,229
Tsubasa: Tokyo Revelations,8.30,230
Planetes,8.29,231
Redline,8.29,232
Stranger: Mukou Hadan,8.29,233
Tokyo Godfathers,8.29,234
Hibike! Euphonium 2,8.29,235
Initial D First Stage,8.29,236
Kono Subarashii Sekai ni Shukufuku wo! 2,8.29,237
Koukaku Kidoutai,8.29,238
Ashita no Joe,8.28,239
Douluo Dalu: Haishen Zhi Guang,8.28,240
Douluo Dalu: Hanhai Qian Kun,8.28,241
Kaiba,8.16,352
Katekyo Hitman Reborn!,8.16,353
Lupin III: Part 5,8.16,354
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.16,355
Nodame Cantabile: Paris-hen,8.16,356
Quanzhi Gaoshou Zhi Dianfeng Rongyao,8.16,357
Seirei no Moribito,8.16,358
Tanoshii Muumin Ikka,8.16,359
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,360
Toki wo Kakeru Shoujo,8.16,361
Toradora!,8.16,362
Boku no Hero Academia 3rd Season,8.15,363
Cardcaptor Sakura,8.15,364
Dragon Ball Z,8.15,365
Eizouken ni wa Te wo Dasu na!,8.15,366
Ginga Eiyuu Densetsu Gaiden,8.15,367
Given Movie,8.15,368
IDOLiSH7: Second Beat!,8.15,369
Lupin III: Cagliostro no Shiro,8.15,370
