ranking,rating,title
#6,9.06,Gintama'
#4,9.09,Gintama°
#3,9.10,Steins;Gate
#8,9.05,Ginga Eiyuu Densetsu
#2,9.10,Shingeki no Kyojin Season 3 Part 2
#5,9.08,Fruits Basket: The Final
#1,9.16,Fullmetal Alchemist: Brotherhood
#9,9.04,Gintama': Enchousen
#74,8.58,One Piece
#7,9.06,Hunter x Hunter (2011)
#150,8.41,3-gatsu no Lion
#149,8.41,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan
#75,8.58,Yakusoku no Neverland
#73,8.58,Natsume Yuujinchou San
#72,8.58,Natsume Yuujinchou Go
#71,8.59,Yojouhan Shinwa Taikei
#148,8.41,Tensei shitara Slime Datta Ken 2nd Season
#69,8.59,Mo Dao Zu Shi: Wanjie Pian
#70,8.59,Shouwa Genroku Rakugo Shinjuu
#143,8.42,Kobayashi-san Chi no Maid Dragon S
#146,8.41,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
#147,8.41,Shingeki no Kyojin: Kuinaki Sentaku
#145,8.41,Non Non Biyori Nonstop
#136,8.43,Sayonara no Asa ni Yakusoku no Hana wo Kazarou
#144,8.42,Natsume Yuujinchou Movie: Utsusemi ni Musubu
#140,8.42,Grand Blue
#141,8.42,Kara no Kyoukai 7: Satsujin Kousatsu (Go)
#138,8.43,Kingdom 3rd Season
#139,8.43,Major S5
#142,8.42,Kaze ga Tsuyoku Fuiteiru
#137,8.43,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
#132,8.45,Mo Dao Zu Shi: Xian Yun Pian
#135,8.43,Saiki Kusuo no Ψ-nan
#133,8.44,Koukaku Kidoutai: Stand Alone Complex
#127,8.45,Saiki Kusuo no Ψ-nan 2
#134,8.44,Mononoke
#129,8.45,Gintama: Yorinuki Gintama-san on Theater 2D
#131,8.45,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
#130,8.45,Golden Kamuy 3rd Season
#128,8.45,Yuu☆Yuu☆Hakusho
#126,8.45,Mushishi Zoku Shou: Odoro no Michi
#125,8.46,Owarimonogatari
#123,8.47,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
#124,8.46,Nichijou
#120,8.48,Holo no Graffiti
#122,8.47,Haikyuu!!
#121,8.48,Mob Psycho 100
#115,8.49,Mo Dao Zu Shi
#119,8.48,Zoku Owarimonogatari
#111,8.50,Samurai Champloo
#117,8.49,Shingeki no Kyojin Season 2
#116,8.49,Nana
#110,8.51,Vivy: Fluorite Eye's Song
#113,8.49,Chihayafuru 3
#118,8.48,Saenai Heroine no Sodatekata Fine
#107,8.51,Shingeki no Kyojin
#114,8.49,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu
#112,8.50,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
#109,8.51,Uchuu Kyoudai
#108,8.51,Steins;Gate 0
#106,8.51,Rainbow: Nisha Rokubou no Shichinin
#105,8.51,Perfect Blue
#104,8.51,Kenpuu Denki Berserk
#102,8.51,Gintama: The Semi-Final
#103,8.51,Hotaru no Haka
#101,8.51,Banana Fish
#98,8.52,Ansatsu Kyoushitsu 2nd Season
#97,8.52,Tian Guan Ci Fu Special
#100,8.51,Aria the Origination
#99,8.52,Gintama Movie 1: Shinyaku Benizakura-hen
#91,8.54,Fumetsu no Anata e
#94,8.53,Koukaku Kidoutai: Stand Alone Complex 2nd GIG
#96,8.53,Slam Dunk
#93,8.53,Gintama.: Porori-hen
#90,8.54,Yuru Camp△ Season 2
#95,8.53,One Punch Man
#87,8.55,Sora yori mo Tooi Basho
#89,8.54,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
#88,8.54,Neon Genesis Evangelion: The End of Evangelion
#92,8.54,Haikyuu!!: To the Top 2nd Season
#86,8.55,Kara no Kyoukai 5: Mujun Rasen
