image,misc,ranking,rating,season,title
,";
    ;Add to My List;Add to Favorites;TV;Fall 2016;Dentsu;Mainichi Broadcasting System;Movic;Sony Music Entertainment;TOHO animation;Shueisha;Sentai Filmworks;Production I.G;Comedy;Sports;Drama;School;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#26,8.81,Fall 2016,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
,";
    ;Add to My List;Add to Favorites;TV;Summer 2013;Aniplex;Kodansha;Cyclone Graphics;Aniplex of America;Shaft;Mystery;Comedy;Supernatural;Romance;Vampire;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#31,8.78,Summer 2013,Monogatari Series: Second Season
,";
    ;Add to My List;Add to Favorites;TV;Spring 1998;Bandai Visual;Funimation;Bandai Entertainment;Sunrise;Action;Adventure;Comedy;Drama;Sci-Fi;Space;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#32,8.77,Spring 1998,Cowboy Bebop
,";
    ;Add to My List;Add to Favorites;Movie;Aniplex;Kodansha;Aniplex of America;Shaft;Action;Mystery;Supernatural;Vampire;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#27,8.81,,Kizumonogatari III: Reiketsu-hen
,";
    ;Add to My List;Add to Favorites;TV;Spring 2009;Aniplex;Square Enix;Mainichi Broadcasting System;Studio Moriken;Funimation;Aniplex of America;Bones;Action;Military;Adventure;Comedy;Drama;Magic;Fantasy;Shounen;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#1,9.16,Spring 2009,Fullmetal Alchemist: Brotherhood
,";
    ;Add to My List;Add to Favorites;TV;Winter 2019;Warner Bros. Japan;KlockWorx;BS Fuji;Hakuhodo DY Music & Pictures;Shogakukan;Funimation;Bones;Action;Slice of Life;Comedy;Supernatural;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#25,8.82,Winter 2019,Mob Psycho 100 II
,";
    ;Add to My List;Add to Favorites;TV;Spring 2004;VAP;Shogakukan-Shueisha Productions;Nippon Television Network;VIZ Media;Madhouse;Drama;Horror;Mystery;Police;Psychological;Seinen;Thriller;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#28,8.80,Spring 2004,Monster
,";
    ;Add to My List;Add to Favorites;TV;Spring 2021;Pony Canyon;Pony Canyon Enterprise;add some;OLM;P.I.C.S.;Mystery;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#29,8.80,Spring 2021,Odd Taxi
,";
    ;Add to My List;Add to Favorites;Movie;Toho;Walt Disney Studios;GKIDS;Studio Ghibli;Adventure;Supernatural;Drama;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#30,8.80,,Sen to Chihiro no Kamikakushi
,";
    ;Add to My List;Add to Favorites;Movie;Shochiku;Funimation;Kyoto Animation;Slice of Life;Drama;Fantasy;Official Site;AnimeDB;AnimeNewsNetwork;Wikipedia",#23,8.87,,Violet Evergarden Movie
