description,image_urls,images,misc,ranking,rating,season,title
"Gintoki and his Yorozuya friends (or rather, employees suffering under labor violations), Shinpachi and Kagura, continue to scrape by in the futuristic, alien-infested city of Edo. They take on whatever work they can find while trying not to get involved in anything too dangerous. But when Katsura, the leader of the Joui rebels and Gintoki's long-time acquaintance, disappears after being brutally attacked by an unknown assassin, Shinpachi and Kagura begin an investigation into his whereabouts and the identity of the assailant. Meanwhile, Gintoki takes on a seemingly unrelated job: the blacksmith Tetsuya requests that Gin recover a strange and powerful sword called the Benizakura which was recently stolen.,
,
As the two investigations gradually intersect, the Yorozuya crew find themselves in the midst of a major conspiracy that hinges on the sinister nature of the Benizakura sword. Gintoki resolves to take the fight directly to the enemy headquarters, and together with a few unexpected allies, sets out on one of his most perilous jobs yet.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/4/28803.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/28803.jpg', 'path': 'full/cbbd0f4ac6c1725c1077780245a4c37a06196758.jpg', 'checksum': '867de69475da8490c261badfaa71c0c9', 'status': 'downloaded'}]",Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen,#99,8.52,,Gintama Movie 1: Shinyaku Benizakura-hen
"Suzu Urano is a pure and kindhearted girl who loves to draw and keep her head in the clouds. Growing up in the outskirts of Hiroshima with her family, she is more than happy to help with her grandmother's nori business.,
,
However, when she becomes of age, Suzu leaves her beloved home to marry Shuusaku Houjou, a man she barely knows. As she integrates into her new husband's household, the homesick bride struggles to adjust to the unfamiliar environment as the war effort extends far beyond its point of no return. When the war reaches Suzu's own backyard and peace gives way to brutality, how will she support herself and those she comes to love along the way?,
,
, paints a colorful yet haunting depiction of everyday life in the years before and after World War II, showcasing the perseverance and fortitude of ordinary Japanese during one of the darkest periods of modern history.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/2/87704.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/2/87704.jpg', 'path': 'full/f07b807bf44da744a6370373e4ec44027b716e81.jpg', 'checksum': '5d85678ec85a26b2cd4ec32b87aee166', 'status': 'downloaded'}]",Historical;Drama;Seinen,#291,8.22,,Kono Sekai no Katasumi ni
"In Hokkaido, it is rumored that there is a stash of hidden gold. This gold was supposedly stolen by a man who killed the original Ainu owners; and before being captured and imprisoned by the police, he hid it in a secret location. In order to relay the gold's location to his comrades on the outside, he tattooed the map on the bodies of his cellmates and promised them a share of the gold—provided they managed to escape and find it.,
,
In ,, First Lieutenant Tokushirou Tsurumi plans to give the 7th Division an advantage in the war for the tattoos by getting a taxidermist to create skins that only he can distinguish as fake. Meanwhile, Saichi ""The Immortal"" Sugimoto, Asirpa, and their companions continue their hunt for the skins by following a strange rumor: a thief who broke into a home in Yubari found taxidermied human corpses, among which was a torso with strange tattoos.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1180/95018.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1180/95018.jpg', 'path': 'full/ed0f38a587cca5b9baaf37a25b2293b0f87b85d8.jpg', 'checksum': 'be321e6c3665bc96bf8556d09b246644', 'status': 'downloaded'}]",Action;Adventure;Historical;Seinen,#290,8.22,Fall 2018,Golden Kamuy 2nd Season
"In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.,
,
, follows the hardships and daily lives of these three young girls, who are doing their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/6/77623.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/6/77623.jpg', 'path': 'full/efd107b877142a21c8f0c17194950842a95a5cb9.jpg', 'checksum': '670373a0bb06819a62e12bf807b304e0', 'status': 'downloaded'}]",Sci-Fi;Slice of Life;Fantasy;Shounen,#100,8.51,Winter 2008,Aria the Origination
"Rai is a space opera that fuses feudal Chinese and Japanese customs with vast galaxy spanning empires and space-going societies. The story follows the life and times of the samurai Rai, and the quest of several spacefaring factions for control of territory and, of course, the Empire.",https://cdn.myanimelist.net/images/anime/6/30829.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/6/30829.jpg', 'path': 'full/c4bafe83c849e55ccbd9d490948a663a6d3da351.jpg', 'checksum': 'c9d874b366b7fe3eb368f8adb89de38f', 'status': 'downloaded'}]",Sci-Fi;Adventure;Space;Romance;Shounen,#650,7.92,Spring 1994,Ginga Sengoku Gunyuuden Rai
"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself.,
,
With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/10/3741.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/10/3741.jpg', 'path': 'full/1eaf5e384dcc2d8d5efbc40a443e81226681a227.jpg', 'checksum': '667b508b90750ceb502dad38fe214725', 'status': 'downloaded'}]",Mystery;Shounen,#600,7.96,Spring 1997,Kindaichi Shounen no Jikenbo
"After succumbing to an unenviable fate, Kiritsugu Emiya has left Shirou Emiya the duty to save mankind in his place. The world is dying and time is ticking, but when the salvation Shirou seeks is at the cost of his only family left—his younger sister—will he still have the heart to pursue this duty?,
,
Shirou is now pressed with the choice to continue being a hero of justice—or become the very evil his ideal has vowed to vanquish. The orphan is alone once again, yet his body is still made of swords. The Fifth Holy Grail War now begins with his oath under snow.,
,
[Written by MAL Rewrite],
",https://cdn.myanimelist.net/images/anime/1996/93042.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1996/93042.jpg', 'path': 'full/b3c7f049f4afcd4e8a9282e30eac5bfd942c6f9d.jpg', 'checksum': 'f34030ee2711c0bea96df4610e0a80d6', 'status': 'downloaded'}]",Action;Magic;Fantasy,#597,7.96,,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai
"After a curse turned him into a pig, World War I ace Marco Pagot becomes Porco Rosso, a mysterious bounty hunter who takes down sky pirates in the Adriatic Sea. He whiles away his days on a secluded island, rarely leaving other than to collect bounties or to visit the beautiful Gina, a songstress and owner of the Hotel Adriano.,
,
One day, while traveling to fix his faulty engine, Porco Rosso is gunned down by a young American hotshot named Donald Curtis. Thrilled at the possibility of fame, Donald boldly declares that the flying pig is dead. Not wanting to disappoint Gina, Porco Rosso flees to the famous Piccolo S.P.A. airplane company and takes out a massive loan in order to repair and improve his fighter plane. There, he is surprised to find that the chief engineer of Piccolo S.P.A. is the 17-year-old Fio Piccolo, who hungers for a chance to prove herself. With Fio's improvements, Porco Rosso prepares to challenge Donald officially and regain his honor.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/6/2878.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/6/2878.jpg', 'path': 'full/d43f4cece0d8f6eebad1322833afa5cb4bb03c48.jpg', 'checksum': '82bc6f96d326914f885d2c8669470ab8', 'status': 'downloaded'}]",Action;Military;Adventure;Comedy;Historical;Drama;Romance,#601,7.96,,Kurenai no Buta
"Haré was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle.,
,
(Source: ANN)",https://cdn.myanimelist.net/images/anime/10/24555.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/10/24555.jpg', 'path': 'full/fc2d7584790f5f07462c695594b2f0660faa4bb6.jpg', 'checksum': '05e1e89ec3d57d72dcc269446ed7a2df', 'status': 'downloaded'}]",Slice of Life;Comedy;School,#800,7.83,Spring 2001,Jungle wa Itsumo Hare nochi Guu
"""No matter how many years go by, I'm sure we'll still be laughing together."" ,
,
Twins Yuta and Yuki, Kaname, and Shun have been childhood friends since kindergarten. When transfer student Chizuru joins them, their five man school life becomes all the more lively. Through the changing seasons, the boys will find laughter, surprises, love, and new encounters waiting for them. ,
,
The second season of the boys growing a little every day of their invaluable daily lives is about to begin! ,
,
(Source: Crunchyroll) ",https://cdn.myanimelist.net/images/anime/10/42107.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/10/42107.jpg', 'path': 'full/8cab7956c5f6f428043ef065d5a72a43de9b1018.jpg', 'checksum': '2c71ac8114dde78be60afb60921a6028', 'status': 'downloaded'}]",Comedy;Drama;Romance;School;Shounen;Slice of Life,#599,7.96,Spring 2012,Kimi to Boku. 2
